SKU编号,产品名称,品类,单件重量(kg),包装长(cm),包装宽(cm),包装高(cm),发货数量,备注
JP-0001,硅胶沥水垫,硅胶,0.15,30.0,20.0,2.0,30,需抽真空
JP-0002,不锈钢量勺5件套,金属,0.2,15.0,10.0,3.0,30,
JP-0003,塑料保鲜盒,塑料,0.18,20.0,15.0,8.0,30,易碎需加固
JP-0004,硅胶揉面垫,硅胶,0.2,40.0,30.0,0.5,30,需抽真空
JP-0005,厨房剪刀,金属,0.25,20.0,8.0,3.0,30,
JP-0006,木质砧板,木制,0.3,35.0,25.0,2.0,30,
JP-0007,陶瓷杯垫,陶瓷,0.22,10.0,10.0,1.5,30,易碎
JP-0008,开瓶器,金属,0.15,12.0,5.0,3.0,30,
JP-0009,硅胶冰格,硅胶,0.12,20.0,12.0,3.0,30,需抽真空
JP-0010,塑料量杯,塑料,0.1,15.0,10.0,10.0,30,
JP-0001,木质收纳盒(白色),木制,0.3,26.0,21.0,8.1,30,
JP-0002,蒜压器(黄色),金属,0.2,15.0,8.0,3.8,50,
JP-0003,蒜压器(黄色),金属,0.24,15.6,8.2,4.2,30,
JP-0004,塑料沙拉碗(红色),塑料,0.16,24.4,20.6,7.9,30,
JP-0005,塑料调料瓶套装(蓝色),塑料,0.12,15.1,12.5,7.4,30,
JP-0006,硅胶冰格(红色),硅胶,0.12,19.8,11.4,3.0,30,
JP-0007,冰淇淋勺(灰色),金属,0.18,20.9,5.0,4.1,25,
JP-0008,陶瓷杯垫(黄色),陶瓷,0.24,9.6,9.5,1.4,30,
JP-0009,隔热手套(蓝色),纺织,0.05,25.3,14.3,1.9,50,
JP-0010,厨房剪刀(黑色),金属,0.24,21.4,7.8,4.3,25,
